CES UnitId,NPCC Full Name,Type,Zone,Installation Date,Retirement Date,Summer Capacity (MW),Winter Capacity (MW),ISO_Q_ID
2118,Ty Cooke 2-3,GT,PANHANDLE,2021-07-31,12/31/2100,25.0,30.0,21INR0506
2119,PES 2 Power Station,NGT,HOUSTON,2021-11-01,12/31/2100,102.0,102.0,22INR0371
2182,Beachwood Power Station (Mark One),NGT,COASTAL,2022-06-25,12/31/2100,306.0,306.0,22INR0369
2183,Rabbs Power Plant,NGT,HOUSTON,2022-03-01,12/31/2100,408.0,408.0,20INR0221
2187,Cedar Bayou5,NGT,HOUSTON,2028-06-01,12/31/2100,697.0,697.0,23INR0029
2188,RABBS 2 Power Station,NGT,HOUSTON,2025-06-01,12/31/2100,102.0,102.0,22INR0597
2189,Beachwood II Power Station,NGT,HOUSTON,2024-06-01,12/31/2100,102.0,102.0,23INR0506
2190,Brotman II Power Station,NGT,HOUSTON,2023-08-01,12/31/2100,102.0,102.0,23INR0551
2191,Brotman Power Station,NGT,COASTAL,2023-06-01,1/1/2100,300.0,300.0,23INR0095
7872,Chamon 2,NCC,HOUSTON,2022-05-01,1/1/2100,100.0,100.0,19INR0056
7873,ProEnergy HO Clark NGT,NGT,COASTAL,2021-01-01,1/1/2100,299.0,299.0,20INR0206
7888,Brandon Station ERCOT,STg1001,WEST,2021-06-01,12/31/2100,20.0,22.0,21INR0201
7889,J Robert Massengale CC ERCOT,CC,WEST,2021-06-01,12/31/2100,40.0,44.0,21INR0202
7890,Formosa NCC 2020,NCC,SOUTH,2020-03-25,12/31/2100,220.0,240.0,19INR0014
7897,Old Bloomington Road,NGT,SOUTH,2021-09-30,12/31/2100,100.0,100.0,19INR0057
7898,GoodAlta,NGT,NORTH,2025-01-01,12/31/2100,150.0,150.0,20INR0104
7899,Topaz Power Plant,NGT,HOUSTON,2021-07-15,12/31/2100,498.0,498.0,20INR0231
7900,Greens Bayou Expansion,NGT,HOUSTON,2025-01-01,12/31/2100,140.0,140.0,20INR0267
8023,Boonsville,NCC,NORTH,2026-01-01,12/31/2070,620.0,620.0,
8031,Economic CC: Denton,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8032,Economic CC: Denton,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8033,Economic CC: Northeast,NCC,NORTHEAS,2050-01-01,12/31/2030,500.0,500.0,
8034,Economic CC: Northeast,NCC,NORTHEAS,2050-01-01,12/31/2030,500.0,500.0,
8035,Economic CC: Northeast,NCC,NORTHEAS,2050-01-01,12/31/2030,500.0,500.0,
8036,Economic CC: Houston,NCC,HOUSTON,2050-01-01,12/31/2030,500.0,500.0,
8037,Economic CC: Houston,NCC,HOUSTON,2050-01-01,12/31/2030,500.0,500.0,
8038,Economic CC: Houston,NCC,HOUSTON,2050-01-01,12/31/2030,500.0,500.0,
8039,Economic CC: Hidalgo,NCC,SOUTH,2050-01-01,12/31/2030,500.0,500.0,
8040,Economic CC: North,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8041,Economic CC: North,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8042,Economic CC: North,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8043,Economic CC: North,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8044,Economic CC: Newman,NCC,NORTH,2050-01-01,12/31/2030,500.0,500.0,
8045,Economic CC: South,NCC,SOUTH,2050-01-01,12/31/2030,500.0,500.0,
8046,Economic CC: South,NCC,SOUTH,2050-01-01,12/31/2030,500.0,500.0,
8047,Economic CC: South,NCC,SOUTH,2050-01-01,12/31/2030,500.0,500.0,
8048,Economic CC: West,NCC,WEST,2050-01-01,12/31/2030,500.0,500.0,
8049,Economic CC: West,NCC,WEST,2050-01-01,12/31/2030,500.0,500.0,
8050,Economic CC: West,NCC,WEST,2050-01-01,12/31/2030,500.0,500.0,
8068,Collin 1,STg200,NORTHEAS,2030-01-01,12/31/2005,138.0,138.0,
8072,Corpus Christi Energy 2,NGT,SOUTH,2024-06-01,12/31/2070,113.0,140.9,
8073,Corpus Christi Energy 3,NGT,SOUTH,2024-06-01,12/31/2070,131.0,133.5,
8074,Economic GT: Denton,NGT,NORTH,2050-01-01,12/31/2030,50.0,50.0,
8075,Economic GT: Denton,NGT,NORTH,2050-01-01,12/31/2030,50.0,50.0,
8076,Economic CT: Northeast,NGT,NORTHEAS,2050-01-01,12/31/2030,250.0,250.0,
8077,Economic CT: Northeast,NGT,NORTHEAS,2050-01-01,12/31/2030,250.0,250.0,
8078,Economic CT: Northeast,NGT,NORTHEAS,2050-01-01,12/31/2030,250.0,250.0,
8079,Economic CC: Houston,NGT,HOUSTON,2050-01-01,12/31/2030,250.0,250.0,
8080,Economic CC: Houston,NGT,HOUSTON,2050-01-01,12/31/2030,250.0,250.0,
8081,Economic CT: North,NGT,NORTH,2050-01-01,12/31/2030,250.0,250.0,
8082,Economic CT: North,NGT,NORTH,2050-01-01,12/31/2030,250.0,250.0,
8083,Economic CT: North,NGT,NORTH,2050-01-01,12/31/2030,250.0,250.0,
8084,Economic CT: North,NGT,NORTH,2050-01-01,12/31/2030,250.0,250.0,
8085,Economic GT: Newman,NGT,NORTH,2050-01-01,12/31/2030,50.0,50.0,
8086,Economic GT: Newman,NGT,NORTH,2050-01-01,12/31/2030,50.0,50.0,
8087,Economic CT: South,NGT,SOUTH,2050-01-01,12/31/2030,250.0,250.0,
8088,Economic CT: South,NGT,SOUTH,2050-01-01,12/31/2030,250.0,250.0,
8089,Economic CT: South,NGT,SOUTH,2050-01-01,12/31/2030,250.0,250.0,
8090,Economic CT: South,NGT,SOUTH,2050-01-01,12/31/2030,250.0,250.0,
8091,Economic CT: South,NGT,SOUTH,2050-01-01,12/31/2030,250.0,250.0,
8092,Economic CT: West,NGT,WEST,2050-01-01,12/31/2030,250.0,250.0,
8093,Economic CT: West,NGT,WEST,2050-01-01,12/31/2030,250.0,250.0,
8096,Coleto Creek 2,STc+,SOUTH,2030-01-01,12/31/2100,660.0,660.0,
8097,Las Brisas Energy Center 1 (CFB)_PTFUEL,STc+,SOUTH,2030-01-01,12/31/2100,620.0,620.0,
8098,Las Brisas Energy Center 2 (CFB)_PTFUEL,STc+,SOUTH,2030-01-01,12/31/2100,620.0,620.0,
8099,White Stallion Energy Center,STc+,HOUSTON,2050-01-01,12/31/2100,1200.0,1200.0,
8100,Pondera King Power Project 1,NCC,HOUSTON,2025-01-01,12/31/2100,435.0,462.0,
8116,Brownsville Tenaska,NCC,SOUTH,2030-12-01,1/1/2100,780.0,800.0,16INR0005
8119,Pondera King Power Project 2,NCC,HOUSTON,2025-01-01,1/1/2100,435.0,462.0,
8121,Guadalupe Peaker Calpine,NGT,SOUTH,2030-01-01,12/31/2100,418.0,418.0,14INR0027
8122,Clear Springs Energy Center,NGT,SOUTH,2024-06-01,12/31/2100,530.0,540.0,17INR0017
8123,Union Valley Energy Center,NGT,SOUTH,2024-06-01,12/31/2100,530.0,540.0,17INR0016
8124,Van Alstyne Energy Center,NGT,NORTHEAS,2024-06-01,12/31/2100,530.0,540.0,
8130,Halyard Wharton,NGT,HOUSTON,2050-01-01,12/31/2100,400.0,419.0,16INR0044
