UNIT NAME,INR,UNIT CODE,COUNTY,FUEL,ZONE,IN SERVICE,INSTALLED CAPACITY RATING (MW),SPRING CAPACITY (MW)
BOCANOVA BESS,25INR0467,,BRAZORIA,STORAGE,COASTAL,2025.0,0.0,0.0
STEPHENS RANCH WIND 2,25INR0439,SRWE1_SRWE2,BORDEN,WIND-O,WEST,2015.0,166.52,164.7
STEPHENS RANCH WIND 1,25INR0439,SRWE1_UNIT1,BORDEN,WIND-O,WEST,2014.0,213.82,211.2
MALDIVES SOLAR (ALTERNATE POI),25INR0400,,SCURRY,SOLAR,WEST,2027.0,0.0,0.0
LONGBOW BESS,25INR0328,,BRAZORIA,STORAGE,COASTAL,2024.0,0.0,0.0
WIZARD BESS,25INR0300,,GALVESTON,STORAGE,HOUSTON,2025.0,0.0,0.0
ISAAC SOLAR,25INR0232,,MATAGORDA,SOLAR,COASTAL,2026.0,0.0,0.0
IRON BELT ENERGY STORAGE,25INR0208,,BORDEN,STORAGE,WEST,2025.0,0.0,0.0
SOHO II BESS,25INR0162,,BRAZORIA,STORAGE,COASTAL,2025.0,0.0,0.0
SOSA STORAGE,25INR0131,,MADISON,STORAGE,NORTH,2026.0,0.0,0.0
SUN CACTUS SOLAR,25INR0109,,DUVAL,SOLAR,SOUTH,2026.0,0.0,0.0
DIVER SOLAR,25INR0105,,LIMESTONE,SOLAR,NORTH,2026.0,0.0,0.0
SANPAT SOLAR II,25INR0081,,SAN PATRICIO,SOLAR,COASTAL,2025.0,0.0,0.0
THREE W SOLAR,25INR0055,,HILL,SOLAR,NORTH,2025.0,0.0,0.0
SANPAT SOLAR,25INR0052,,SAN PATRICIO,SOLAR,COASTAL,2025.0,0.0,0.0
CEDRO HILL WIND 1,24INR0632,CEDROHIL_CHW1,WEBB,WIND-O,SOUTH,2010.0,75.0,75.0
CEDRO HILL WIND 2,24INR0632,CEDROHIL_CHW2,WEBB,WIND-O,SOUTH,2010.0,75.0,75.0
CHAPMAN RANCH WIND IA (SANTA CRUZ),24INR0627,SANTACRU_UNIT1,NUECES,WIND-C,COASTAL,2017.0,150.6,150.6
CHAPMAN RANCH WIND IB (SANTA CRUZ),24INR0627,SANTACRU_UNIT2,NUECES,WIND-C,COASTAL,2017.0,98.4,98.4
MAINLAND BESS (DGR),24INR0624,,GALVESTON,STORAGE,HOUSTON,2024.0,0.0,0.0
PAVLOV BESS (DGR),24INR0615,,MATAGORDA,STORAGE,COASTAL,2024.0,0.0,0.0
RUSSEK STREET BESS (DGR),24INR0614,,REAGAN,STORAGE,WEST,2024.0,0.0,0.0
CENTURY BESS,24INR0610,,TARRANT,STORAGE,NORTH,2024.0,0.0,0.0
RODEO RANCH ENERGY STORAGE II,24INR0609,,REEVES,STORAGE,WEST,2024.0,10.0,10.0
CISCO BESS (DGR),24INR0588,,EASTLAND,STORAGE,NORTH,2024.0,0.0,0.0
LUFKIN SOUTH BESS (DGR),24INR0587,,ANGELINA,STORAGE,NORTH,2024.0,0.0,0.0
JUDKINS BESS (DGR),24INR0586,,ECTOR,STORAGE,WEST,2024.0,9.9,9.9
PAULINE BESS (DGR),24INR0585,,HENDERSON,STORAGE,NORTH,2024.0,9.9,9.9
PANTHER CREEK WIND 2,24INR0582,PC_SOUTH_PANTHER2,HOWARD,WIND-O,WEST,2019.0,115.5,115.5
TEXAS BLUEBONNET SOLAR,24INR0580,,MCLENNAN,SOLAR,NORTH,2024.0,0.0,0.0
PANTHER CREEK WIND 1,24INR0578,PC_NORTH_PANTHER1,HOWARD,WIND-O,WEST,2008.0,153.9,142.5
GUNNAR BESS,24INR0491,,HIDALGO,STORAGE,SOUTH,2025.0,0.0,0.0
BARRETT SOLAR,24INR0477,,RAINS,SOLAR,NORTH,2024.0,0.0,0.0
AMADOR STORAGE,24INR0472,,VAN ZANDT,STORAGE,NORTH,2024.0,0.0,0.0
EVELYN BATTERY ENERGY STORAGE SYSTEM,24INR0460,,GALVESTON,STORAGE,HOUSTON,2025.0,0.0,0.0
CARAMBOLA BESS (SMT MCALLEN II),24INR0436,,HIDALGO,STORAGE,SOUTH,2026.0,0.0,0.0
BUZIOS SOLAR,24INR0399,,MOTLEY,SOLAR,PANHANDLE,2026.0,0.0,0.0
DESTINY STORAGE,24INR0397,,HARRIS,STORAGE,HOUSTON,2026.0,0.0,0.0
REMY JADE II POWER STATION,24INR0382,,HARRIS,GAS-GT,HOUSTON,2024.0,0.0,0.0
XE HERMES STORAGE,24INR0365,,BELL,STORAGE,NORTH,2025.0,0.0,0.0
ELDORA BESS,24INR0338,,MATAGORDA,STORAGE,COASTAL,2026.0,0.0,0.0
ELDORA SOLAR,24INR0337,,MATAGORDA,SOLAR,COASTAL,2026.0,0.0,0.0
XE MURAT STORAGE,24INR0329,,HARRIS,STORAGE,HOUSTON,2024.0,0.0,0.0
WIGEON WHISTLE BESS,24INR0312,,COLLIN,STORAGE,NORTH,2024.0,0.0,0.0
ARROYO STORAGE SLF,24INR0306,,CAMERON,STORAGE,COASTAL,2024.0,0.0,0.0
ERIKA SOLAR,24INR0303,,KAUFMAN,SOLAR,NORTH,2025.0,0.0,0.0
PINTAIL PASS BESS,24INR0302,,SAN PATRICIO,STORAGE,COASTAL,2025.0,0.0,0.0
LUCKY BLUFF BESS,24INR0295,,ERATH,STORAGE,NORTH,2025.0,0.0,0.0
CITRUS FLATTS BESS,24INR0294,,CAMERON,STORAGE,COASTAL,2025.0,0.0,0.0
RED EGRET BESS,24INR0281,,GALVESTON,STORAGE,HOUSTON,2025.0,0.0,0.0
AL PASTOR BESS,24INR0273,,DAWSON,STORAGE,WEST,2024.0,0.0,0.0
SMT IRONMAN BESS,24INR0265,,BRAZORIA,STORAGE,COASTAL,2024.0,0.0,0.0
EASTBELL MILAM SOLAR II,24INR0208,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
GLASGOW STORAGE,24INR0207,,NAVARRO,STORAGE,NORTH,2025.0,0.0,0.0
GLASGOW SOLAR,24INR0206,,NAVARRO,SOLAR,NORTH,2025.0,0.0,0.0
DORI BQ BESS,24INR0196,,HARRIS,STORAGE,HOUSTON,2024.0,0.0,0.0
YAUPON STORAGE SLF,24INR0169,,MILAM,STORAGE,SOUTH,2025.0,0.0,0.0
STILLHOUSE SOLAR,24INR0166,,BELL,SOLAR,NORTH,2025.0,0.0,0.0
CITADEL BESS,24INR0147,,HARRIS,STORAGE,HOUSTON,2024.0,0.0,0.0
GAIA SOLAR,24INR0141,,NAVARRO,SOLAR,NORTH,2025.0,0.0,0.0
GAIA STORAGE,24INR0140,,NAVARRO,STORAGE,NORTH,2025.0,0.0,0.0
MIDPOINT SOLAR,24INR0139,,HILL,SOLAR,NORTH,2025.0,0.0,0.0
MIDPOINT STORAGE,24INR0138,,HILL,STORAGE,NORTH,2025.0,0.0,0.0
BRP DESNA BESS,24INR0128,,BRAZORIA,STORAGE,COASTAL,2024.0,0.0,0.0
HART  WIND 2,24INR0116,,CASTRO,WIND-P,PANHANDLE,2025.0,0.0,0.0
ORIANA BESS,24INR0109,,VICTORIA,STORAGE,SOUTH,2025.0,0.0,0.0
SHEEP CREEK STORAGE,24INR0100,,CALLAHAN,STORAGE,WEST,2024.0,0.0,0.0
ORIANA SOLAR,24INR0093,,VICTORIA,SOLAR,SOUTH,2025.0,0.0,0.0
SYPERT BRANCH SOLAR PROJECT,24INR0070,,MILAM,SOLAR,SOUTH,2025.0,0.0,0.0
CUCHILLAS SOLAR,24INR0059,,WEBB,SOLAR,SOUTH,2026.0,0.0,0.0
HANSON STORAGE,24INR0057,,COLEMAN,STORAGE,WEST,2025.0,0.0,0.0
YAUPON SOLAR SLF,24INR0042,,MILAM,SOLAR,SOUTH,2025.0,0.0,0.0
SP JAGUAR BESS,24INR0039,,MCLENNAN,STORAGE,NORTH,2025.0,0.0,0.0
SP JAGUAR SOLAR,24INR0038,,MCLENNAN,SOLAR,NORTH,2025.0,0.0,0.0
STONERIDGE SOLAR,24INR0031,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
COMPADRE SOLAR,24INR0023,,HILL,SOLAR,NORTH,2024.0,0.0,0.0
FIVE WELLS SOLAR U1,24INR0015,FIVEWSLR_UNIT1,BELL,SOLAR,NORTH,2023.0,193.43,192.1
FIVE WELLS SOLAR U2,24INR0015,FIVEWSLR_UNIT2,BELL,SOLAR,NORTH,2023.0,128.75,128.1
PINNINGTON SOLAR,24INR0010,,JACK,SOLAR,NORTH,2025.0,0.0,0.0
MIDWAY BESS,23INR0688,,ECTOR,STORAGE,WEST,2024.0,9.9,9.9
GOODNIGHT WIND II,23INR0637,,ARMSTRONG,WIND-P,PANHANDLE,2024.0,0.0,0.0
FALFURRIAS BESS (DGR),23INR0620,,BROOKS,STORAGE,SOUTH,2024.0,0.0,0.0
NEW JUNCTION BESS,23INR0619,,KIMBLE,STORAGE,SOUTH,2024.0,0.0,0.0
HIDDEN LAKES BESS,23INR0617,,GALVESTON,STORAGE,HOUSTON,2024.0,0.0,0.0
IEP DAMON BESS (DGR),23INR0603,,BRAZORIA,STORAGE,COASTAL,2024.0,0.0,0.0
MINERAL WELLS EAST BESS (DGR),23INR0570,,PALO PINTO,STORAGE,NORTH,2024.0,9.9,9.9
WEIL TRACT BESS,23INR0569,,NUECES,STORAGE,COASTAL,2024.0,0.0,0.0
GARDEN CITY EAST BESS (DGR),23INR0565,,GLASSCOCK,STORAGE,WEST,2024.0,9.9,9.9
IEP ORCHARD BESS,23INR0556,,FORT BEND,STORAGE,HOUSTON,2024.0,0.0,0.0
FARMERSVILLE BESS (DGR),23INR0555,,COLLIN,STORAGE,NORTH,2024.0,9.9,9.9
HAMILTON BESS (DGR),23INR0554,,VAL VERDE,STORAGE,WEST,2024.0,9.9,9.9
VAL VERDE BESS (DGR),23INR0553,MV_VALV4_BESS,HIDALGO,STORAGE,SOUTH,2024.0,9.95,9.9
MILTON BESS (DGR),23INR0552,,KARNES,STORAGE,SOUTH,2025.0,0.0,0.0
CONTINENTAL BESS (DGR),23INR0543,,STARR,STORAGE,SOUTH,2024.0,9.8,9.8
AE-TELVIEW ESS (DGR),23INR0541,,FORT BEND,STORAGE,HOUSTON,2024.0,0.0,0.0
REGIS GREGORY,23INR0539,,SAN PATRICIO,STORAGE,COASTAL,2024.0,0.0,0.0
DAMON STORAGE,23INR0523,,BRAZORIA,STORAGE,COASTAL,2024.0,0.0,0.0
DIBOLL BESS (DGR),23INR0522,,ANGELINA,STORAGE,NORTH,2024.0,9.9,9.9
SMT SANTA ROSA (DGR),23INR0515,S_SNROSA_BESS,CAMERON,STORAGE,COASTAL,2023.0,9.99,9.9
NORTH MERCEDES BESS (DGR),23INR0514,N_MERCED_BESS,HIDALGO,STORAGE,SOUTH,2023.0,9.99,9.9
SMT ELSA (DGR),23INR0513,ELSA_BESS,HIDALGO,STORAGE,SOUTH,2023.0,9.99,9.9
WEST HARLINGEN BESS (DGR),23INR0512,W_HARLIN_BESS,CAMERON,STORAGE,COASTAL,2023.0,9.99,9.9
SMT MAYBERRY BESS (DGR),23INR0511,MAYBERRY_BESS,HIDALGO,STORAGE,SOUTH,2023.0,9.99,9.9
BEACHWOOD II POWER STATION (U7-U8),23INR0506,,BRAZORIA,GAS-GT,COASTAL,2024.0,0.0,0.0
LAURELES BESS (DGR),23INR0499,,CAMERON,STORAGE,COASTAL,2024.0,0.0,0.0
REGIS MOORE FIELD BESS,23INR0498,,HIDALGO,STORAGE,SOUTH,2024.0,0.0,0.0
CARTWHEEL BESS 1,23INR0494,,HOPKINS,STORAGE,NORTH,2025.0,0.0,0.0
BOCO BESS,23INR0470,,BORDEN,STORAGE,WEST,2024.0,0.0,0.0
GULF STAR STORAGE SLF,23INR0460,,WHARTON,STORAGE,SOUTH,2024.0,0.0,0.0
CAMP CREEK STORAGE SLF,23INR0423,,ROBERTSON,STORAGE,NORTH,2024.0,0.0,0.0
SOHO BESS,23INR0419,,BRAZORIA,STORAGE,COASTAL,2025.0,0.0,0.0
ANGELO STORAGE,23INR0418,,TOM GREEN,STORAGE,WEST,2024.0,0.0,0.0
TECO GTG2,23INR0408,,HARRIS,GAS-GT,HOUSTON,2024.0,50.0,45.3
CONNOLLY STORAGE,23INR0403,,WISE,STORAGE,NORTH,2024.0,0.0,0.0
HONEYCOMB STORAGE SLF,23INR0392,,BEE,STORAGE,SOUTH,2025.0,0.0,0.0
PIONEER DJ WIND,23INR0387,,MIDLAND,WIND-O,WEST,2024.0,0.0,0.0
CAMP CREEK SOLAR SLF,23INR0385,,ROBERTSON,SOLAR,NORTH,2024.0,0.0,0.0
SOPORTAR ESS,23INR0381,,BEXAR,STORAGE,SOUTH,2025.0,0.0,0.0
RODEO RANCH ENERGY STORAGE U1,23INR0371,RRANCHES_UNIT1,REEVES,STORAGE,WEST,2023.0,150.32,145.0
RODEO RANCH ENERGY STORAGE U2,23INR0371,RRANCHES_UNIT2,REEVES,STORAGE,WEST,2023.0,150.32,145.0
ANEMOI ENERGY STORAGE,23INR0369,,HIDALGO,STORAGE,SOUTH,2024.0,0.0,0.0
FEWELL SOLAR,23INR0367,,LIMESTONE,SOLAR,NORTH,2025.0,0.0,0.0
TIERRA SECA BESS,23INR0364,,VAL VERDE,STORAGE,WEST,2025.0,0.0,0.0
RIVER BEND (BRAZOS BEND BESS),23INR0363,,FORT BEND,STORAGE,HOUSTON,2024.0,0.0,0.0
THIRD COAST BESS,23INR0361,,JACKSON,STORAGE,SOUTH,2025.0,0.0,0.0
BRP CASTOR BESS,23INR0358,,BRAZORIA,STORAGE,COASTAL,2024.0,0.0,0.0
BORDERTOWN BESS,23INR0354,,STARR,STORAGE,SOUTH,2025.0,0.0,0.0
SEVEN FLAGS BESS,23INR0351,,WEBB,STORAGE,SOUTH,2025.0,0.0,0.0
FORT DUNCAN BESS,23INR0350,,MAVERICK,STORAGE,SOUTH,2025.0,0.0,0.0
TOKIO SOLAR,23INR0349,,MCLENNAN,SOLAR,NORTH,2025.0,0.0,0.0
XE HERMES SOLAR,23INR0344,,BELL,SOLAR,NORTH,2025.0,0.0,0.0
GUAJILLO ENERGY STORAGE,23INR0343,,WEBB,STORAGE,SOUTH,2025.0,0.0,0.0
LARKSPUR ENERGY STORAGE,23INR0340,,UPTON,STORAGE,WEST,2025.0,0.0,0.0
REMY JADE POWER STATION,23INR0339,,HARRIS,GAS-GT,HOUSTON,2024.0,0.0,0.0
TALITHA BESS,23INR0331,,JIM WELLS,STORAGE,SOUTH,2024.0,0.0,0.0
GREATER BRYANT G SOLAR,23INR0300,,MIDLAND,SOLAR,WEST,2025.0,0.0,0.0
ANOLE BESS,23INR0299,,DALLAS,STORAGE,NORTH,2024.0,0.0,0.0
TROJAN SOLAR,23INR0296,,COOKE,SOLAR,NORTH,2026.0,0.0,0.0
BRP ZEYA BESS,23INR0290,,GALVESTON,STORAGE,HOUSTON,2024.0,0.0,0.0
BRP AVILA BESS,23INR0287,,PECOS,STORAGE,WEST,2024.0,0.0,0.0
DRY CREEK SOLAR I,23INR0286,,RUSK,SOLAR,NORTH,2025.0,0.0,0.0
GIGA TEXAS ENERGY STORAGE,23INR0239,,TRAVIS,STORAGE,SOUTH,2024.0,125.0,125.0
HOYTE SOLAR,23INR0235,,MILAM,SOLAR,SOUTH,2024.0,0.0,0.0
ROCINANTE BESS,23INR0232,,GONZALES,STORAGE,SOUTH,2024.0,0.0,0.0
ROCINANTE SOLAR,23INR0231,,GONZALES,SOLAR,SOUTH,2024.0,0.0,0.0
MRG GOODY SOLAR,23INR0225,,LAMAR,SOLAR,NORTH,2025.0,0.0,0.0
